,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Capex per Share
2017-09,0.10077930063431983,0.020535754331503116,0.030008192067763007,0.02234130600037337,0.03888836285531705,0.2569307691688444,0.70401948002412,0.2569307691688444,0.20004630799184703,0.08698185862399999,0.09532325862399998,0.8118523298861301,0.16543079675155478,0.5555816212570261,0.7462410657515445,0.06488907519302932,0.06488907519302932,0.18129530539569033,0.6108898912073828,0.6088608752171691,0.81780420919698,0.0001231751099538335,0.00013400495441682686,0.01799906003118309,0.006428451530564666,0.05345680594719303,0.012760628484139107,0.196996996996997,0.014612656337502335,3.7594046065805074e-05,0.003052081388837036,0.0007253846592746152,0.0007253846592746152,0.00021355167204431432,0.03914,0.1314475,0.00621,0.0002232830597767169,0.3445518988581391,-0.2899194631953051,0.0027830999999999997,0.012603199999999998,-0.011262699999999999,0.0369896,0.0019421999999999998,0.0047079999999999995,0.0004476,0.007666886067389629
2017-07,0.08665901886066521,0.016635981928479975,0.015960389683133878,0.011456441380826582,0.03544187454328342,0.2527268448868832,0.6432783247297107,0.2527268448868832,0.1850454793813636,0.077932244431,0.085711044431,0.8940259771825169,0.1716266834720754,0.931869477830922,1.2982216297018159,0.05885009962695865,0.05885009962695865,0.18875758551576816,0.6531858286160646,1.0248839463230899,1.4278035054306182,0.00011185357310885481,7.70284500828789e-05,0.016065546535774966,0.006163518004015378,0.05928059746989787,0.01388342230203439,0.17887043189368773,0.009593896982906965,4.317853315490379e-05,0.003860273029712057,0.0008331131078224102,0.0008331131078224102,0.0002348097910323229,0.0354364406779661,0.19240677966101696,0.00997457627118644,0.0002627290345313601,0.3075680128825962,-0.23877939565792666,0.0031572999999999996,0.012431999999999999,-0.0099873,0.0345534,0.00166845,0.0038512999999999998,0.00036215,0.0045039483023073
2017-04,0.1005201981062767,0.02095881096706983,0.023797913658592393,0.018068399190760722,0.028803399929991605,0.2548009150500188,0.6203496391071004,0.2548009150500188,0.16924396633667957,0.077133708708,0.084471008708,0.6993717354973253,0.14582143963248642,0.6159363467859139,0.811250617458982,0.05752726593278741,0.05752726593278741,0.15969262081820937,0.5141579445370993,0.6745269400942268,0.8884203692469501,0.0001429854752835982,0.00012326647012389624,0.014949806834623589,0.005991952937237694,0.0446606610262341,0.013906083826456875,0.26598113207547175,0.011354610572128023,3.894535930292222e-05,0.002723728352525161,0.0007028886872353298,0.0007028886872353298,0.00024183037796085284,0.041535655058043124,0.17544278606965175,0.0077346600331674965,0.00023007410768300057,0.34663712263304924,-0.23413998182518203,0.0028648,0.0125992,-0.009845999999999999,0.033646499999999996,0.00162745,0.0036842,0.00035035,0.005729514467831674
2016-12,0.14786943342855866,0.03376513424806758,0.051061956973658076,0.044607496120246226,0.030896484979884536,0.24985557672023176,0.6093426244856956,0.24985557672023176,0.14641623610191332,0.064447613743,0.070516113743,0.36022365291487346,0.08225499833186557,0.2382008195705204,0.27266717610001695,0.048680122171614174,0.048680122171614174,0.09000027280187872,0.2676539654710393,0.2606302252476345,0.29834199417414126,0.0002776053132291999,0.0003667474810511077,0.015012538711383035,0.00600200518812228,0.02303385713201245,0.012282420064186379,0.44493333333333335,0.015122687384718574,4.8566577072684345e-05,0.0017494829802694092,0.0005036310959655909,0.0005036310959655909,0.000249772755412347,0.07911111111111112,0.2290964912280702,0.00873391812865497,0.00016030427180252962,0.4356824067347762,-0.23855130569779803,0.0019202,0.0124119,-0.009541899999999999,0.030991799999999996,0.0017513499999999998,0.0041810499999999995,0.00034044999999999995,0.006454460853411835
2016-09,0.08563981267890372,0.01647650626414322,0.02947638562409292,0.022095408000994365,0.0374422847032072,0.23442372441425602,0.5722469392156935,0.23442372441425602,0.14509159504425295,0.0643641973,0.07020849729999999,0.7140470079875749,0.13737769422863483,0.39913306027533174,0.5324635779285243,0.05018689993684161,0.05018689993684161,0.14985165478528134,0.4906597057795793,0.4353745336723304,0.5808115263070814,0.0001400468020751655,0.00018780627285163083,0.015082924623193944,0.006013224075651412,0.04084352505416172,0.01352669417512594,0.2613555555555555,0.01788994896827158,4.8039129356158386e-05,0.0034302196583092964,0.0007431913258772305,0.0007431913258772305,0.0002679631690530517,0.03993561168895493,0.1160277365032194,0.0063100544824170384,0.0002198412020831555,0.2947980481362515,-0.20728245491535088,0.0027863,0.011962899999999999,-0.0086568,0.0300608,0.0018361999999999999,0.00412025,0.00031145,0.007380977623098548
2016-06,0.07693822273758977,0.014160498240291086,0.019315384593029172,0.014038800782351177,0.03312532149925456,0.2298465376891578,0.5391651481730123,0.2298465376891578,0.13231964800009302,0.053590108704,0.059010308704,0.6874051911749615,0.12651708934321737,0.5039506178672183,0.6933640665545349,0.042349996209924065,0.042349996209924065,0.13931325535672126,0.4671863566146782,0.5549210899379349,0.7634921555699314,0.0001454746069477202,0.0001442243762312634,0.014150433456350116,0.005859287570107526,0.042911883461325316,0.013115994740228856,0.24706601466992667,0.013640328373524885,5.946992975146028e-05,0.0040879938429964095,0.0008123613012890127,0.0008123613012890127,0.00028687639478799226,0.03660585197934596,0.1458106712564544,0.008695352839931154,0.0002488313895840219,0.27061353177714004,-0.19544975021142666,0.0022275,0.011777399999999999,-0.00853,0.029204699999999997,0.0016342,0.00357145,0.0002964,0.00527658381067799
2016-03,0.09131324033857259,0.018993414075210744,0.020953080704309603,0.016258911516265413,0.038857389731274616,0.23562417459202809,0.5349528668568175,0.23562417459202809,0.13039459197031567,0.058179181248,0.063215181248,0.5532444013693418,0.11507641127440314,0.5015014330488752,0.646291726816263,0.04459644269606077,0.04459644269606077,0.12503744535474812,0.3839600415937804,0.5449114839065597,0.7022348505665407,0.0001807519420937452,0.0001547288876690656,0.013400584100508213,0.005726602397167164,0.03058794946550049,0.012831172636050686,0.4357320872274144,0.011031761125903384,4.988038569380453e-05,0.002759604412324078,0.0006770575785746781,0.0006770575785746781,0.0002978278743567318,0.04463639861485187,0.19452481723739898,0.009530588687956908,0.0002072907807029689,0.31732383942671744,-0.19727566603379373,0.0019326999999999999,0.0121365,-0.0087228,0.0286278,0.0016599499999999999,0.0035104499999999996,0.0003189,0.004694169188044191
2015-12,0.13648669797964716,0.033029737737298365,0.04940339237946871,0.04219696956068884,0.030021964658666325,0.23074044825173193,0.5111739129652649,0.23074044825173193,0.10070283309917556,0.055277999919999994,0.059179499919999996,0.30106203322259134,0.07285691680725433,0.2012817242107563,0.2356567332565972,0.04309604178783319,0.04309604178783319,0.07799913000843527,0.21817327159447003,0.21548811098568985,0.2522892949652556,0.0003321574591441912,0.00042434603339389424,0.012865117294393727,0.005626525824797807,0.014383410138248849,0.010016690322241496,0.8757608695652174,0.014957246337345461,5.37103369205982e-05,0.001617014323838571,0.0005071699704765921,0.0005071699704765921,0.0003111659688220292,0.068554667998003,0.18939590614078883,0.007373939091362956,0.00014208140025305779,0.4141004359460163,-0.20867819886201122,1.2699999999999999e-05,0.011914099999999999,-0.0088798,0.025434,0.00169615,0.00392115,0.0003274,0.007206422818779873
2015-09,0.08951369976228056,0.019334583719842507,0.023420848222301133,0.017062891799505025,0.03670859476474953,0.20745048902209662,0.48922197767206677,0.20745048902209662,0.09768275257451176,0.066325437288,0.069809737288,0.5962373003236247,0.12878475619502536,0.4922110373877551,0.6756181856779059,0.05556988587658666,0.05556988587658666,0.1355502558940603,0.39347163390824047,0.5180685513024118,0.7111106986655801,0.0001677184569729572,0.00014801259368064733,0.01433739684135562,0.0058910971188967185,0.01963871040468944,0.011087706239920605,0.6144117647058822,0.012113448399856166,4.468873664759486e-05,0.002664509169363538,0.0007194035067280249,0.0007194035067280249,0.00031014290189652265,0.03683706943685074,0.14079004920721705,0.00852651722252597,0.00017766645307858102,0.3004110501857412,-0.20111816952036013,0.0008768,0.011034599999999999,-0.008174599999999999,0.0243934,0.00189095,0.004030049999999999,0.0003223,0.006357956422796108
2015-06,0.08568952906948825,0.01844384844017591,0.02589083079716742,0.02228221420153873,0.026462612555498245,0.21709914212007003,0.45661005624190476,0.21709914212007003,0.0865791592977069,0.071070595394,0.074530595394,0.6656419911398335,0.1432730478661425,0.4741833159460902,0.5509775594542213,0.05655020042967289,0.05655020042967289,0.1502481511823405,0.434150378015961,0.4972684507205765,0.5778013442437397,0.00015023090690051243,0.00018149559502760233,0.01173436667011466,0.005398991766458845,0.020154948447602957,0.010868193306272499,0.7006467661691542,0.014037651025568981,4.295728751215364e-05,0.0028594174393556243,0.000718475960084669,0.000718475960084669,0.00032300815299962296,0.07174724748683581,0.23745811393011015,0.014763044518908568,0.00017256324967241212,0.3001553475443717,-0.17960597845332862,0.0005668,0.011685399999999999,-0.007652099999999999,0.023814199999999997,0.0015669999999999998,0.00357925,0.00030695,0.0036086165956286846
